candidate_id,name_de,source_url,category_proposal,location_scope,reviewer_verdict,review_notes
MB-2025-01122,Sanierung und Ersatzanbau Kindervilla Lucy-Lameck Str. 31,https://mein.berlin.de/vorhaben/2025-01122/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01119,Erweiterung und Umgestaltung am Sprengelpark,https://mein.berlin.de/vorhaben/2025-01119/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01115,Umgestaltung nördlicher Grünzug Gropiusstadt,https://mein.berlin.de/vorhaben/2025-01115/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01112,Schulhofneubau Ringelnatz-Grundschule,https://mein.berlin.de/vorhaben/2025-01112/,education,official_register_navigation_point_not_footprint,,
MB-2025-01110,Schulhofneubau der Charlie-Chaplin-Grundschule,https://mein.berlin.de/vorhaben/2025-01110/,education,official_register_navigation_point_not_footprint,,
MB-2025-01107,Umgestaltung Grünanlage Carl-Herz-Ufer und Bau barrierefreier Spielplatz,https://mein.berlin.de/vorhaben/2025-01107/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01096,Neugestaltung der Freiflächen Koppen-/Palisadenstraße,https://mein.berlin.de/vorhaben/2025-01096/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01095,Neubau Schulsportanlage für die Spartacus-Grundschule,https://mein.berlin.de/vorhaben/2025-01095/,education,official_register_navigation_point_not_footprint,,
MB-2024-01081,Umgestaltung der Schillerpromenade und des Herrfurthplatzes,https://mein.berlin.de/vorhaben/2024-01081/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-01080,Sanierung des Gartendenkmals Marienhöhe,https://mein.berlin.de/vorhaben/2024-01080/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-01075,Ersatzneubau Sport- und Funktionsgebäude Ella-Kay-Straße,https://mein.berlin.de/vorhaben/2024-01075/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-01063,Schulhofsanierung Märkische Grundschule,https://mein.berlin.de/vorhaben/2024-01063/,education,official_register_navigation_point_not_footprint,,
MB-2024-01045,Neubau GE-Förderzentrum Waidmannsluster Damm,https://mein.berlin.de/vorhaben/2024-01045/,education,official_register_navigation_point_not_footprint,,
MB-2024-01043,Modernisierung der Begegnungsstätte Haus Bottrop,https://mein.berlin.de/vorhaben/2024-01043/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-01042,Sanierung des Otawitreffs,https://mein.berlin.de/vorhaben/2024-01042/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-01041,Schulhofsanierung Hoffmann-von-Fallersleben-Grundschule,https://mein.berlin.de/vorhaben/2024-01041/,education,official_register_navigation_point_not_footprint,,
MB-2024-01039,Sanierung des Uferwanderweges Tegel,https://mein.berlin.de/vorhaben/2024-01039/,public_space,official_register_navigation_point_not_footprint,,
